id pop year region species cluster geno_sex sequenced rgb_r_mean rgb_r_mode rgb_g_mean rgb_g_mode rgb_b_mean rgb_b_mode luminance_mean luminance_mode isotope_d13C isotope_d15N isotope_d13C_resid isotope_d15N_resid isotope_CN_ratio csize PC1 PC2 PC3 PC4 PC5 PC6 egg_diameter_mean egg_diameter_sd egg_number egg_weight sex testis_length_mean testis_width_mean testis_weight std_length body_depth1 body_depth2 spine_dorsal1 spine_dorsal2 spine_dorsal3 spine_pelvic joint_sex raker_long_count raker_short_count plate_count
CL28 CL 2014 HA cmn cmn M 1 143.118681426332 159 140.190830721003 157 138.643808777429 151 421.953320924765 421.953320924765 -18.69 13.3 -0.217777777777779 1.44 3.26480055983205 5.66790629083679 0.0110512335543086 0.0199803394686195 0.00891546334506327 0.00849161617996844 -0.00294405143663001 0.00580367705745762 NA NA NA NA NA NA NA NA 4.67 1.04 0.99 0.565649713 0.598 0.164246933 0.695277822 M NA NA NA
CL29 CL 2014 HA wht wht M 1 153.012384716733 172 151.270355731225 168 146.537373737374 160 450.820114185332 450.820114185332 -18.95 10.36 -0.477777777777777 -1.5 3.24812985179958 4.69968461387469 0.0296010080781051 0.0191022567385161 -0.0164884836102627 0.00557140422164698 -0.0100864259864464 -0.00128022399564624 NA NA NA NA M 4.1 1.15 0.44 3.82 0.93 0.88 0.423048444 0.515 0.140693934 0.590039309 M NA NA NA
CL31 CL 2014 HA wht wht F 1 137.896581196581 129 133.220868945869 126 130.118945868946 122 401.236396011396 401.236396011396 -20.79 11.32 -2.46666666666667 -0.585333333333333 3.24604982206406 4.94645345442402 -0.0180278821637064 -0.00638482126489367 0.0178100318330517 0.000552645856313216 0.00233642046046449 -0.0101424458049608 1.455 0.463351318595776 25 3.725 F NA NA NA 4 0.85 0.84 0.454111122 0.514 0 0.752287766 F NA NA NA
CL33 CL 2014 HA wht wht F 1 143.479298941799 133 136.450198412698 111 129.935582010582 114 409.865079365079 409.865079365079 NA NA NA NA NA 4.70883834146583 0.0171101638942137 -0.0249729240579994 -0.00411886797875504 0.00538623914903972 0.0164606140392196 0.00196462625388723 1.42 0.0752772652709081 34 2.73 F NA NA NA 3.85 0.83 0.82 0.284035167 0.37 0.090822697 0.59724688 F NA NA NA
CL38 CL 2014 HA cmn cmn F 1 135.1825 99 134.282333333333 99 132.954766666667 102 402.4196 402.4196 -17.37 12.51 0.953333333333332 0.604666666666667 3.20860513532269 6.13135821971878 -0.00196002788836636 -0.0076600053027941 -0.00746248467947902 0.0014074851019175 -0.0184902044611317 0.0101228448292472 NA NA NA NA NA NA NA NA 4.94 1.19 1.17 0.402290476 0.598 0.202030952 0.862957143 F NA NA NA
CL39 CL 2014 HA wht wht M 1 145.505218855219 153 141.878114478114 146 136.993265993266 134 424.376599326599 424.376599326599 -20.86 9.68 -2.38777777777778 -2.18 3.23864768683274 4.62452946772029 0.0195794932843909 0.0282912989017885 -0.00296374256404933 -0.00449263391726556 -0.00939020420858527 -0.00298923840975436 NA NA NA NA M 3.15 0.75 0.559 3.89 0.86 0.83 0.373122685 0.406 0.152766713 0.639697313 M NA NA NA
CL40 CL 2014 HA wht wht F 1 150.519725557461 146 143.747093577282 139 137.948065561273 132 432.214884696017 432.214884696017 -19.3 11.55 -0.976666666666668 -0.355333333333332 3.2311743772242 4.43342463558801 0.0197245391804011 -0.0185364851111824 -0.0116232249044834 0.00781253011100015 -0.00355192232211219 -0.00828930458926907 1.34 0.0843274042711568 33 2.65 F NA NA NA 3.53 0.84 0.87 0.313334641 0.35 0.070920142 0.457420729 F NA NA NA
CL41 CL 2014 HA wht wht F 1 163.811904761905 184 152.984920634921 164 142.240582010582 155 459.037407407407 459.037407407407 -18.42 9.18 -0.0966666666666686 -2.72533333333333 3.31139185988084 5.09676343877282 0.0315729493209116 -0.020023308058121 -0.000513476538870805 -0.000367518461000964 0.00489020206349424 0.00290009959234603 1.445 0.0497214463005877 40 2.84 F NA NA NA 4.13 0.96 0.99 0.415869797 0.547 0.164234982 0.617734871 F NA NA NA
CL42 CL 2014 HA wht wht M 1 144.24787037037 156 142.694537037037 155 138.283981481481 146 425.226388888889 425.226388888889 -18.47 12.9 0.00222222222222303 1.04 3.2333803810868 4.35387107741965 0.0173271657076647 0.0152036599255715 -0.00442148670197936 0.0152402348602407 -0.0157428504370426 0.0198419492662728 NA NA NA NA M 2.85 0.65 0.285 3.61 0.8 0.79 0.363895947 0.415 0.179103051 0.574096175 M NA NA NA
CL43 CL 2014 HA cmn cmn F 1 157.210882559775 185 159.373066104079 184 163.241443975621 181 479.825392639475 479.825392639475 NA NA NA NA NA 6.68144806212611 -0.0452748405039314 -0.014433728035348 -0.00592233763124809 0.000893721954912308 0.0122973551537763 0.000731696353528481 NA NA NA NA NA NA NA NA 5.32 1.23 1.21 0.465628822 0.557 0.145005645 0.766907427 F NA NA NA
